model_family,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_roc_auc,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc,train_time_sec,inference_per_sample_ms,best_params
XGBoost,0.9651162790697675,0.9656891495601173,0.9594907407407407,0.9624290083005679,0.998263888888889,1.0,1.0,1.0,1.0,1.0,0.20529258199999845,0.007708811162791165,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.1}"
LogisticRegression,1.0,1.0,1.0,1.0,1.0,0.9883720930232558,0.990909090909091,0.984375,0.9874763361001893,1.0,0.011088668000013513,0.0013684474418654603,"{""C"": 0.01, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""lbfgs""}"
TabNet,0.9883720930232558,0.9848484848484849,0.9907407407407407,0.9876347951114307,1.0,0.9767441860465116,0.9705882352941176,0.9814814814814814,0.9754145225843339,1.0,6.110882167,0.14615805151163255,"{""n_d"": 16, ""n_a"": 16, ""n_steps"": 4, ""gamma"": 1.5, ""lr"": 0.02}"
MLPClassifier,0.9883720930232558,0.990909090909091,0.984375,0.9874763361001893,1.0,0.9767441860465116,0.9821428571428572,0.96875,0.9747800586510265,1.0,0.13318608900002005,0.0040868060465114936,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0005, ""max_iter"": 400}"
